cluster_save,index_save,var_save,cor_save,cluster_reorder
2,pdo,tas,0.234970330839298,38
2,enso,tas,NA,38
4,enso,pr,0.264205181348183,40
4,pdo,pr,NA,40
4,nao,pr,0.251121681977011,40
4,iod,pr,0.321977637017869,40
4,enso,rsds,0.265218559653321,40
4,pdo,rsds,0.26947538666047,40
4,nao,rsds,0.276162137708727,40
4,iod,rsds,0.284613738868615,40
5,pdo,tasmax,0.231023933347502,18
5,enso,tasmax,0.265508454377711,18
5,iod,tasmax,0.422222638695559,18
5,nao,tasmax,0.245987558517038,18
5,pdo,sfcwind,0.570425266399944,18
5,enso,sfcwind,0.463635929821539,18
5,iod,sfcwind,0.289012085761273,18
5,nao,sfcwind,0.343876714783743,18
5,pdo,rsds,0.397394967440174,18
5,enso,rsds,0.273133889213994,18
5,iod,rsds,0.249458524176018,18
5,nao,rsds,0.263567973842383,18
7,nao,tasmax,0.283412278624817,29
7,iod,tasmax,0.394977660856023,29
7,nao,ps,NA,29
7,iod,ps,0.270455812787949,29
8,enso,tas,NA,12
8,pdo,tas,NA,12
8,nao,tas,NA,12
8,iod,tas,0.470764146603586,12
9,enso,tasmax,0.299723373501662,42
9,iod,tasmax,0.369249805904833,42
9,pdo,tasmax,0.232755089682278,42
9,nao,tasmax,0.278369364669392,42
10,iod,tasmax,0.297593221809534,20
10,enso,tasmax,NA,20
10,nao,tasmax,0.326057516189534,20
11,iod,rlds,0.482741223678542,10
11,enso,rlds,0.365726365546165,10
11,pdo,rlds,0.336595526457108,10
11,iod,sfcwind,0.333749084148389,10
11,enso,sfcwind,0.275676426895025,10
11,pdo,sfcwind,0.389576562454493,10
11,iod,rsds,0.469683665621851,10
11,enso,rsds,NA,10
11,pdo,rsds,0.310363934537196,10
12,enso,tas,NA,9
12,pdo,tas,0.24763244796516,9
12,iod,tas,0.529226848366826,9
13,enso,sfcwind,NA,30
13,nao,sfcwind,NA,30
14,nao,tasmax,NA,15
14,pdo,tasmax,0.308388570835334,15
14,iod,tasmax,0.393478621085196,15
14,nao,pr,0.378084142285958,15
14,pdo,pr,0.328785966379976,15
14,iod,pr,0.332163705357834,15
15,enso,hurs,NA,43
15,nao,hurs,0.253383561972716,43
16,enso,sfcwind,0.371378391113517,1
16,nao,sfcwind,0.341371032474896,1
16,pdo,sfcwind,0.307823208002999,1
18,iod,tasmax,0.4136354686399,44
