"","year","PC1","PC2","PC3","tas","hurs","pr","ps","rsds","rlds","sfcwind","tasmax","tasmin"
"1",1950,-25.2344986781069,6.60444184018928,7.28407868814313,270.936502800501,65.8944086220232,1.50077100437915e-05,88572.2540849215,159.674389429477,242.687655571223,2.71157433227573,276.521350125026,264.962542231949
"2",1951,5.88653855451144,-18.4003534054239,16.7506595932208,270.874582743965,66.2271395661906,1.50253225065742e-05,88608.8205227018,160.567991850301,242.106252600152,2.78751417125822,276.376040690469,264.941223089791
"3",1952,20.3272444894222,0.939041030140823,12.2469709504602,269.668395065513,66.910676533652,1.60865034936067e-05,88607.297309417,158.905562334959,238.461204480911,2.81144290226992,275.133913678225,263.744057009573
"4",1953,-40.1400650223238,11.7715216100412,2.90941065764447,271.656436225652,64.715878059832,1.39267549650871e-05,88663.6976317265,160.788031115339,244.400235970672,2.7078324400256,277.187947417802,265.754287487081
"5",1954,9.52415461492755,1.80842112078902,1.13674531140666,269.914699975258,67.2898261818651,1.54036249439399e-05,88635.1211463004,159.503652687244,239.925794278132,2.66452376361385,275.394367276179,264.024198386701
"6",1955,11.2773060297088,-8.85539115540907,-2.97955339651921,270.862758017228,66.8071445447982,1.68413169400906e-05,88576.8970011211,158.586074569086,243.215204555358,2.79267246038924,276.272215099933,264.999842211805
"7",1956,22.2436544396376,-2.51053657606267,-9.18543123651012,269.545954026021,66.0714821922405,1.45538534622121e-05,88629.5922575673,160.588704260582,236.741497241649,2.71576035140341,275.127372105346,263.583878370892
"8",1957,17.3610800874466,-12.6812986767981,-5.69041531399776,270.615982315679,66.769560833576,1.68651141024539e-05,88575.9173276345,156.79714574429,242.25053687673,2.82085777964827,276.086094467095,264.727959876638
"9",1958,14.729284874148,23.242911029022,-14.4616212029923,270.973371018209,67.0599729016223,1.73178618643911e-05,88574.9010860426,157.310320531734,243.511967174034,2.85585889677296,276.309170682762,265.177746130426
"10",1959,-21.7088446040091,11.1016985917289,-2.47761581762733,270.735169716052,67.3499939683307,1.666911184096e-05,88541.1927970852,156.937462913616,243.031708735308,2.72646191045308,276.033421729391,264.977036576207
"11",1960,32.365861121066,6.08524761993537,-10.3102201136851,270.142279435915,67.1938073265178,1.62390984770465e-05,88524.0056474215,157.297907068911,240.370081428562,2.79266400551048,275.558590492967,264.259265862024
"12",1961,-26.1826112144496,-5.95234457897998,0.438511137708991,271.397144184198,66.3774034850801,1.62926430628823e-05,88556.1181334081,158.146334558324,244.231051225192,2.81419680727971,276.863256671717,265.498935059689
"13",1962,-8.30849164919191,-23.9003751671092,-5.24570084566515,271.538211757506,67.3856608711551,1.75164743478437e-05,88615.1613158632,157.346163707784,245.551317319314,2.80717861930351,276.859647441231,265.822088595677
"14",1963,4.75187677867166,5.22374388634559,-1.89820991293402,271.666122340728,66.8692307510718,1.68547632190102e-05,88592.3730731502,156.866882139471,245.448420010554,2.82854185820695,276.929887109594,265.966002049467
"15",1964,3.6628391587446,10.1296078155493,0.551161319536784,270.959215596973,66.9523863138105,1.56060359017319e-05,88610.1597603699,158.55069972838,242.852489426959,2.74785689099487,276.369386216236,265.191782943657
"16",1965,-26.1603257608498,-1.4158927103755,-6.84607972344334,271.304689498012,65.3181329359388,1.52025529525067e-05,88592.0609375,159.610391125871,243.605722415394,2.77435796902319,276.751441935039,265.352042898683
"17",1966,-22.4463410844909,-9.7296529049141,-1.09388541053432,270.309417122469,66.2285760066969,1.51974665245709e-05,88557.2154288117,160.298381487243,241.286902115484,2.80634100212645,275.805487662687,264.25738933204
"18",1967,-28.7845625793325,10.7246892029823,2.68178869100035,271.390010898744,65.2832062588679,1.63386512612726e-05,88652.8846552691,158.639081522168,243.768757950992,2.71201906738794,276.769930523928,265.675753633645
"19",1968,5.40639605791715,12.6303144274,14.0713584671788,271.255199647912,64.9633825498846,1.57536168473043e-05,88589.5622127242,158.440682367573,243.71843518997,2.8588752655705,276.640940850091,265.403421773183
"20",1969,19.6754584025835,-10.5931544375375,-13.6826545659738,269.420949783667,66.5891463412298,1.67565990941185e-05,88607.0433295964,157.396638960902,239.179375249067,2.83605515625445,274.732840143725,263.625588838723
"21",1970,3.73150690223165,3.67610654990021,8.85556594611626,270.503955680266,66.0798985400007,1.68216514620705e-05,88603.9628153027,158.358828783249,241.169326713801,2.80138204632319,275.938744323457,264.616118289965
"22",1971,-8.60588632488584,-2.00292085754024,2.49410923036746,271.234446873686,65.7711992135497,1.66357488363128e-05,88590.6589475897,159.021339833897,243.031973540302,2.80327195629411,276.671639070383,265.436368632637
"23",1972,22.5560809796739,-3.45326452735782,8.65058794293578,270.531210231353,66.1501763074387,1.52475386040665e-05,88522.8218399664,157.969613189013,241.715365053185,2.86793729670914,275.952762921936,264.560410325944
"24",1973,-5.79583932300591,2.98799205374063,-8.88524979572957,271.636058174441,65.9185519812888,1.58774230727031e-05,88556.2312710202,159.892771213685,244.412085344118,2.81426111368855,277.086190289553,265.75203975113
"25",1974,-18.1310601655033,-5.31147194707782,8.57712356759451,269.957209209904,65.6155009402288,1.50015971477981e-05,88578.6988789238,159.526329136322,239.732410776455,2.78497515173771,275.458794563875,263.953511300536
"26",1975,0.3413733554622,31.6316692784625,13.192936660924,271.549339944472,66.4558437740856,1.59842258520383e-05,88552.3041830157,158.306375464196,244.657935569318,2.80254347270914,276.941446812377,265.759047955569
"27",1976,18.7158342647529,-4.10024190286646,9.3743149008304,269.944909366898,66.960492343646,1.60819209021827e-05,88583.5118623879,159.257638009247,238.950245673346,2.76163007603633,275.428091635939,264.036138669685
"28",1977,-28.9723251598837,-11.4528521889411,-20.9983048784509,271.361273056509,65.089674425339,1.57957649891834e-05,88582.7632567265,158.2970053908,244.850238064479,2.80764011588332,276.888545370743,265.419606107019
"29",1978,-12.6087109418661,-12.4413982398081,-10.7869967470127,271.862907129125,64.2962657124472,1.55602043641227e-05,88540.2956768498,159.989207684299,244.076557956576,2.84276650711025,277.273736736486,266.04516089743
"30",1979,25.9108326800634,-7.05650837249744,2.51285259918117,271.038100881534,65.0726416446703,1.71127331568764e-05,88559.0698360426,158.243782782448,244.406245347096,2.90041543892146,276.292780745297,264.952124871908
"31",1980,18.4698756236993,0.374863995061507,15.8103371430135,270.56867361026,65.5667633535616,1.60880500707901e-05,88650.376793722,157.986898345263,242.845646715378,2.74362799137697,275.938286422935,264.765283996856
