"cluster","pc","var","predict"
2,3,"tas",0.25703220034397
4,1,"pr",0.277235650419883
4,3,"rsds",0.271585568517574
5,1,"tasmax",0.450836758072937
5,2,"sfcwind",0.354093689108599
5,3,"rsds",0.272072040489039
7,1,"tasmax",0.442742304691677
7,3,"ps",0.264334733719349
8,1,"tas",0.278651524586781
9,1,"tasmax",0.290347567345258
10,1,"tasmax",0.519556048946635
11,1,"rlds",0.532870331052527
11,2,"sfcwind",0.326802721128652
11,3,"rsds",0.268243518510494
12,1,"tas",0.27326772045641
13,2,"sfcwind",0.264267593059661
14,1,"tasmax",0.262974051359742
14,3,"pr",0.323281937714655
15,3,"hurs",0.288539519178768
16,3,"sfcwind",0.318022248342171
18,1,"tasmax",0.484902578720222
18,3,"tasmin",0.42240122189829
19,1,"tas",0.298487717147354
20,1,"tas",0.255845619200839
21,1,"tas",0.444617549218341
21,2,"ps",0.496182935378512
22,1,"tasmin",0.323454539723784
22,2,"pr",0.417367733188666
22,3,"rlds",0.365571557716875
23,1,"tasmin",0.530357674790688
24,1,"rlds",0.408981698440631
24,3,"sfcwind",0.340100854106118
25,1,"sfcwind",0.339503060811996
26,2,"tasmin",0.258558858041742
26,3,"ps",0.268436944747808
27,1,"rlds",0.418468689969537
28,1,"tasmin",0.472801578527496
28,2,"pr",0.354681559876554
28,3,"rsds",0.282724682974692
29,1,"tasmin",0.320904231216444
29,2,"ps",0.302152319567188
29,3,"rlds",0.287915416701203
30,3,"sfcwind",0.337562222947605
31,1,"tasmin",0.317285204800963
32,1,"tasmin",0.493868479794067
32,2,"sfcwind",0.280013584567945
33,3,"sfcwind",0.256233992417634
34,1,"tasmax",0.359939832047179
34,3,"rsds",0.258422947238777
35,1,"tasmin",0.344172585810558
36,2,"pr",0.253078030451946
38,3,"rsds",0.256430530873158
40,1,"tas",0.382268577215939
40,2,"sfcwind",0.316172424736485
40,3,"sfcwind",0.314955585669542
41,3,"sfcwind",0.267059184180002
44,1,"hurs",0.264779409143405
44,2,"rsds",0.318236918425133
45,1,"tasmax",0.393925222123785
45,3,"rsds",0.457959532405461
46,1,"tasmin",0.494871775463986
46,3,"sfcwind",0.373558425179268
47,1,"tasmin",0.648080076903767
47,2,"pr",0.372845256733863
