cluster_save,index_save,var_save,cor_save,cluster_reorder
1,nao,pr,0.244749312328517,37
2,enso,rlds,NA,4
2,nao,rlds,0.305500753770747,4
2,iod,rlds,0.465238530354939,4
2,enso,tas,NA,4
2,nao,tas,NA,4
2,iod,tas,0.483980395144418,4
3,enso,tasmin,0.459284341448986,5
3,iod,tasmin,0.434219588173256,5
3,nao,tasmin,0.343996385659831,5
3,pdo,tasmin,0.332830020032258,5
3,enso,pr,0.757344964667022,5
3,iod,pr,0.367221845140888,5
3,nao,pr,NA,5
3,pdo,pr,0.445694353641691,5
4,enso,tasmax,0.350840734464836,38
4,iod,tasmax,0.434072166281736,38
4,pdo,tasmax,0.505363666416931,38
5,nao,tasmax,0.262019190835147,39
5,nao,rsds,0.25213087844326,39
5,nao,tas,0.253832797904102,39
6,enso,ps,NA,40
6,pdo,ps,0.315697438247114,40
6,iod,ps,0.327609258597089,40
7,pdo,tas,NA,30
7,nao,tas,0.2996666590544,30
7,enso,tas,NA,30
7,iod,tas,0.400649401604371,30
7,pdo,rsds,0.310191316017,30
7,nao,rsds,NA,30
7,enso,rsds,0.319616536574766,30
7,iod,rsds,0.285531757788032,30
7,pdo,ps,0.283085420684011,30
7,nao,ps,0.290045389196881,30
7,enso,ps,0.245282066816035,30
7,iod,ps,0.252287661756618,30
8,enso,tasmax,NA,14
8,pdo,tasmax,NA,14
8,iod,tasmax,0.411476156122323,14
8,nao,tasmax,0.262958894192802,14
8,enso,pr,0.302103193905187,14
8,pdo,pr,0.396521388174945,14
8,iod,pr,0.295783634271813,14
8,nao,pr,0.420610515962067,14
9,enso,hurs,NA,41
9,nao,hurs,NA,41
9,pdo,hurs,NA,41
9,iod,hurs,0.273565570182399,41
9,enso,sfcwind,0.328628499618886,41
9,nao,sfcwind,0.315325392882904,41
9,pdo,sfcwind,0.282245356150139,41
9,iod,sfcwind,0.231672705410509,41
9,enso,pr,NA,41
9,nao,pr,0.235461204114176,41
9,pdo,pr,0.247423327009362,41
9,iod,pr,0.316255775419502,41
10,pdo,rsds,0.254807757830972,47
10,nao,rsds,0.309904458248955,47
10,enso,rsds,0.26605759057988,47
10,pdo,rsds,0.254807757830972,47
10,nao,rsds,0.309904458248955,47
10,enso,rsds,0.26605759057988,47
11,nao,tasmax,0.263005881536988,19
11,iod,tasmax,0.375000896198312,19
11,pdo,tasmax,NA,19
11,enso,tasmax,0.251842049111199,19
11,nao,ps,NA,19
11,iod,ps,0.266893249142055,19
11,pdo,ps,0.242321942434279,19
11,enso,ps,0.258848084058523,19
11,nao,pr,0.274215460241763,19
11,iod,pr,0.261206969559524,19
11,pdo,pr,0.251856087444622,19
11,enso,pr,NA,19
12,nao,tasmax,0.30703747334595,15
12,enso,tasmax,0.255653261080039,15
12,iod,tasmax,0.331433263618504,15
12,nao,rsds,0.291296380233996,15
12,enso,rsds,0.311681812886942,15
12,iod,rsds,0.248658575078454,15
12,nao,ps,0.418886073813172,15
12,enso,ps,NA,15
12,iod,ps,0.263415741029296,15
13,iod,tas,0.423095843418031,11
13,nao,tas,NA,11
13,iod,sfcwind,0.249942348124554,11
13,nao,sfcwind,0.322771568062447,11
14,pdo,pr,0.263603030869849,42
14,iod,pr,0.280797171135389,42
14,enso,pr,NA,42
14,nao,pr,0.296838198626765,42
15,pdo,rlds,0.263478513733767,9
15,enso,rlds,0.317943729284661,9
15,nao,rlds,NA,9
16,nao,rlds,0.265754105492553,1
16,pdo,rlds,0.264688016512516,1
16,enso,rlds,0.349844589739557,1
16,nao,pr,0.269554705461016,1
16,pdo,pr,0.41117406358054,1
16,enso,pr,0.540514965274081,1
17,iod,tasmax,0.386180857709988,31
17,nao,tasmax,0.244033865375676,31
17,enso,tasmax,0.3153375212523,31
17,pdo,tasmax,0.28057402128212,31
18,nao,tas,0.564017681414523,43
18,iod,tas,0.276071431551321,43
18,pdo,tas,0.299723179679191,43
18,enso,tas,0.288266933893929,43
18,nao,pr,0.231752733184398,43
18,iod,pr,0.431545363364086,43
18,pdo,pr,NA,43
18,enso,pr,0.286324444644741,43
19,enso,sfcwind,0.270535646064531,18
19,nao,sfcwind,NA,18
19,pdo,sfcwind,NA,18
20,iod,tasmin,0.43739310431312,10
20,nao,tasmin,NA,10
20,enso,tasmin,0.295631225179575,10
20,iod,pr,NA,10
20,nao,pr,0.240358765447449,10
20,enso,pr,NA,10
20,iod,rlds,0.277768456193391,10
20,nao,rlds,0.258581935151632,10
20,enso,rlds,0.377455972360898,10
21,nao,tasmin,NA,6
21,enso,tasmin,0.35935133583533,6
21,nao,rsds,0.271435569333636,6
21,enso,rsds,0.411321258942799,6
22,enso,rlds,NA,2
22,iod,rlds,0.430420815954171,2
22,pdo,rlds,0.231999620445451,2
22,enso,sfcwind,0.249570726777339,2
22,iod,sfcwind,0.241921916226883,2
22,pdo,sfcwind,0.288565688372826,2
23,pdo,tas,0.306652378730829,12
24,nao,rlds,NA,3
24,enso,rlds,0.317505375607913,3
24,nao,sfcwind,0.298391908534057,3
24,enso,sfcwind,0.241340046993844,3
24,nao,hurs,0.272353370079406,3
24,enso,hurs,NA,3
25,nao,tasmax,0.484650735967984,28
25,pdo,tasmax,NA,28
25,nao,rlds,0.390023844401154,28
25,pdo,rlds,NA,28
26,nao,tas,0.30463074054424,29
26,enso,tas,NA,29
26,iod,tas,0.497764442355702,29
27,pdo,tas,0.301382905106627,16
27,nao,tas,0.241527953138935,16
27,enso,tas,0.245057665296724,16
27,pdo,sfcwind,NA,16
27,nao,sfcwind,0.236845193641204,16
27,enso,sfcwind,NA,16
27,pdo,pr,0.375438235158728,16
27,nao,pr,NA,16
