"","year","PC1","PC2","PC3","tas","hurs","pr","ps","rsds","rlds","sfcwind","tasmax","tasmin"
"1",1950,-4.71452211626363,-2.92511496495459,4.29282782254239,296.686945632961,81.4344522289136,7.18263373694964e-05,95532.6707017568,203.932690174484,394.948888922322,1.81074137555112,301.077522745483,293.500950374035
"2",1951,8.81628172322098,-3.30667601446534,3.30544301419935,296.722369700096,81.8056399417216,7.35707696024364e-05,95541.9939285519,204.024558246031,395.557617160777,1.76851818808428,301.084500220945,293.559147903255
"3",1952,-7.0951816830037,-9.66429437500503,0.72457950883344,296.588869164996,81.9699890434011,7.51748316826071e-05,95534.3641979532,202.716689398744,394.915953687945,1.75085890311389,300.920997873497,293.451886619661
"4",1953,21.8425832193683,-8.24351369907717,-3.19490451457565,296.811592302473,82.4591713018468,7.58043614324947e-05,95555.0146056808,201.586933750614,397.031904424343,1.76522288650222,301.097604407529,293.721763731093
"5",1954,9.57365219224983,-1.45553080307407,10.403185813557,296.737349087637,81.9702350103709,7.4370327680093e-05,95526.6053079849,203.259682667026,395.982053051897,1.79218715202266,301.08042854269,293.604036681915
"6",1955,0.183111861504971,-5.9051196929636,-12.0326176155234,296.661363511495,82.2889049541721,7.56180499143732e-05,95512.5121138217,202.029751051119,395.883938770996,1.77671741113562,300.960298314404,293.560862245576
"7",1956,-16.5166265947896,1.85572095556262,-0.880411266573328,296.528797704159,82.5020221853841,7.62203213117679e-05,95533.5208361838,201.605478794479,395.125411459527,1.77797747039336,300.812740853705,293.432922951186
"8",1957,19.1644801099809,-1.1392300067853,15.8173800953432,296.910184509491,81.4353985769736,7.10035032818634e-05,95563.8900007525,205.547313720249,396.289372392377,1.81821047805654,301.283126216427,293.737217984976
"9",1958,53.1888622909,18.82703436606,-8.87440119634559,297.093595060492,81.2731114360789,6.97129292549276e-05,95558.5476480407,205.668337299193,397.225091129176,1.81236342250674,301.505214604313,293.877999434329
"10",1959,-0.06467006974778,2.5447880549584,16.0122633418879,296.798739311365,81.3028305608212,7.05799617031841e-05,95553.3520191413,205.221093987834,395.489491952071,1.82391743411533,301.188090696853,293.616145265917
"11",1960,-5.48627003346081,-1.29667367491541,-0.271268467363965,296.758482336789,81.6151019954848,7.23753430789669e-05,95546.1857623687,203.480821505946,395.551344809724,1.79394309003487,301.123624704765,293.591527935502
"12",1961,-2.10743620508565,8.90128806698909,-9.96529632227936,296.809793595884,81.812694105292,7.31578995181127e-05,95563.4947221158,202.567980116595,396.208862852507,1.8225176220078,301.144090134709,293.673652608841
"13",1962,-18.8478356556791,2.42287085996742,-13.8772607871693,296.627273038473,81.7241919796438,7.32086008023517e-05,95578.4424649053,203.706935668785,394.839477779569,1.79978377532521,300.977457838175,293.467696261698
"14",1963,-15.2818654994275,-0.163051760481248,-23.8285568705627,296.721095591209,81.7823223483124,7.16403769138224e-05,95556.4953549146,202.55390411083,395.426074694418,1.79778168422224,301.084095649252,293.561431617536
