index,cluster,pc,cor
nao,1,1,0.263130738368552
pdo,1,1,0.30653271081534
iod,1,1,0.278325681655044
npo,1,1,0.260579776216521
nao,1,2,0.26035995567067
oni,1,3,0.282257400527876
nao,1,3,0.268275705688171
npgo,1,3,0.261302583652635
oni,2,1,0.601350010325724
nao,2,1,0.358385484462586
pdo,2,1,0.323144888200776
npo,2,1,0.232707678671396
oni,2,2,0.3608089431555
nao,2,2,0.362631307935951
pdo,2,2,0.319772016981165
npgo,2,2,0.237128467347289
npo,2,2,0.232731229611783
nao,2,3,0.258368308563362
oni,3,1,0.470000847575386
pdo,3,1,0.400147749824835
iod,3,1,0.286823952537795
npgo,3,1,0.316418609080384
npo,3,1,0.450441490684607
npo,3,2,0.26272292515926
oni,3,3,0.311750759126566
npgo,3,3,0.290142108073078
oni,4,1,0.251889877498593
nao,4,1,0.482244178569599
npgo,4,1,0.430365459781791
npo,4,1,0.324346785337407
nao,4,2,0.242874164164674
oni,4,3,0.2513527385191
nao,4,3,0.23724434741447
pdo,4,3,0.329310666578614
oni,5,1,0.269079817513869
pdo,5,1,0.317626107925497
iod,5,1,0.348043361137036
npgo,5,1,0.245452794016849
npgo,5,3,0.287332121837384
npo,5,3,0.242209004143082
