index,region,cluster,pc,cor
oni,Africa,1,1,0.326764115596476
pdo,Americas,1,1,0.318643737809843
iod,Antarctica,1,1,0.231375502396908
oni,Asia,1,3,0.282906708543232
nao,Europe,1,3,0.330271514683489
pdo,Oceania,1,3,0.258163226690996
npgo,Africa,1,3,0.310244661387869
oni,Americas,2,1,0.262145531764338
pdo,Antarctica,2,1,0.321750667400161
nao,Asia,2,2,0.247242529402886
nao,Europe,2,3,0.311622979421703
pdo,Oceania,2,3,0.266198008457774
iod,Africa,2,3,0.244438531989691
npgo,Americas,2,3,0.231964356955338
pdo,Antarctica,3,1,0.285839317137441
npgo,Asia,3,1,0.237075241246594
oni,Europe,3,2,0.342903868607438
nao,Oceania,3,2,0.276413994428717
pdo,Africa,3,2,0.331491092919067
npgo,Americas,3,2,0.324259411859482
nao,Antarctica,3,3,0.233116024148201
npo,Asia,4,1,0.264581325290304
oni,Europe,4,2,0.280557435232808
iod,Oceania,4,3,0.269453428026678
oni,Africa,5,1,0.274081693791257
nao,Americas,5,1,0.292244678287596
iod,Antarctica,5,1,0.290891460152823
npo,Asia,5,1,0.233241576110963
oni,Europe,5,2,0.289086510856038
nao,Oceania,5,2,0.2471972945323
pdo,Africa,5,2,0.265564737536768
iod,Americas,5,2,0.277000100740065
npgo,Antarctica,5,2,0.378241996711429
nao,Asia,5,3,0.2736322183686
oni,Europe,6,1,cor04
nao,Oceania,6,1,0.28978323941879
pdo,Africa,6,1,cor04
npgo,Americas,6,1,0.398396249771387
npo,Antarctica,6,1,cor04
pdo,Asia,6,2,0.276534655488679
npo,Europe,6,2,0.268748898126118
npgo,Oceania,6,3,0.356533514721279
npo,Africa,6,3,0.251735154884954
oni,Americas,7,1,0.396708369701346
pdo,Antarctica,7,1,0.354191635821627
iod,Asia,7,1,0.248205924888321
npgo,Europe,7,1,0.32028775377785
npo,Oceania,7,1,0.387616800036781
oni,Africa,7,2,cor04
pdo,Americas,7,2,cor04
npgo,Antarctica,7,2,0.361083572219747
oni,Asia,7,3,0.265999159708827
npo,Europe,7,3,cor04
oni,Oceania,8,1,cor04
nao,Africa,8,1,0.316928121876404
pdo,Americas,8,1,0.293849402403023
npgo,Antarctica,8,1,0.331258745158439
npo,Asia,8,1,0.272912118262953
oni,Europe,8,2,0.250078429833587
nao,Oceania,8,2,0.287518249225044
npo,Africa,8,2,0.234119839669425
oni,Americas,8,3,0.319054863535807
nao,Antarctica,8,3,0.247423376751629
pdo,Asia,8,3,0.231189893901895
iod,Europe,8,3,0.256698496238379
npgo,Oceania,8,3,0.290371461718714
nao,Africa,9,1,cor04
iod,Americas,9,1,0.2571736744364
npgo,Antarctica,9,1,0.34642346042752
npo,Asia,9,1,0.288914955029986
oni,Europe,9,3,0.240683715189331
nao,Oceania,9,3,0.343504001945046
iod,Africa,9,3,0.253982715161549
npgo,Americas,9,3,0.296355902631596
oni,Antarctica,10,1,0.252361183201688
pdo,Asia,10,1,cor04
iod,Europe,10,1,0.24940709168431
npo,Oceania,10,1,cor04
nao,Africa,10,2,0.246597915185039
pdo,Americas,10,2,0.235227156564567
npo,Antarctica,10,2,0.240912600565827
oni,Asia,10,3,0.263226889935959
