index,cluster,pc,cor
nao,1,2,0.337805812095488
npo,1,2,0.244963548495223
pdo,1,3,0.244802169283366
oni,2,1,0.253673937921033
pdo,2,1,0.318281400835932
iod,2,1,0.241564493187556
oni,2,2,0.32654430794358
npgo,2,2,0.383362514337158
nao,2,3,0.338013676531475
iod,2,3,0.245153548033683
npgo,2,3,0.290432697376648
npo,2,3,0.303754572439167
oni,3,1,0.473965359523912
nao,3,1,0.256608297104712
iod,3,1,0.44141316546417
npo,3,1,0.268634493907385
oni,3,2,0.646877289948671
nao,3,2,0.309911979470988
pdo,3,2,0.467038729903304
iod,3,2,0.235062747093047
npgo,3,2,0.415471445691787
npo,3,2,0.260765946593546
iod,3,3,0.254819280397726
npgo,3,3,0.308369641870058
oni,4,1,0.267357544062391
pdo,4,1,0.267984603847193
oni,4,2,0.301280252208366
nao,4,2,0.264429811956684
pdo,4,2,0.373817352222829
npgo,4,2,0.252017752892786
oni,4,3,0.233435406220116
pdo,4,3,0.238195153232994
oni,5,1,0.355644545037486
pdo,5,1,0.243417203972347
iod,5,1,0.241483427173073
npgo,5,1,0.294349119684356
iod,5,2,0.248306393107372
oni,5,3,0.335462366212321
pdo,5,3,0.266763074845925
iod,5,3,0.253721127261355
npgo,5,3,0.38140271680961
oni,6,1,0.298439444262158
nao,6,1,0.270222801519063
pdo,6,1,0.2500240554203
npgo,6,1,0.243689297442487
npo,6,1,0.359916964420895
oni,6,2,0.241624282078975
iod,6,2,0.30750147156783
npgo,6,2,0.272833040215492
oni,6,3,0.27151841921213
iod,6,3,0.263298973608878
oni,7,1,0.413717295075969
pdo,7,1,0.409008081122797
iod,7,1,0.298743328945677
npgo,7,1,0.243177257981797
npo,7,1,0.312802555333744
oni,7,2,0.234125640291926
nao,7,2,0.239487723861555
iod,7,2,0.260846822330485
npgo,7,2,0.241152225226336
oni,7,3,0.346275064625852
pdo,7,3,0.4164653886147
npgo,7,3,0.353723912078651
npo,7,3,0.294686711386046
oni,8,1,0.34716489964753
nao,8,1,0.506980929351053
pdo,8,1,0.351816128980847
npgo,8,1,0.28979161553207
oni,8,2,0.270502811345694
nao,8,2,0.327848174771727
iod,8,2,0.253272968082284
npo,8,2,0.260119011005537
oni,8,3,0.242976883381171
nao,8,3,0.26374513320799
pdo,8,3,0.294727198304395
iod,8,3,0.239760339259503
npgo,8,3,0.327706376763808
npo,8,3,0.286877538071206
nao,9,1,0.316176857034996
iod,9,1,0.234427528259863
npgo,9,1,0.30017760782373
npo,9,1,0.295774468197323
oni,9,2,0.332346198121672
pdo,9,2,0.258708174311939
iod,9,2,0.270125410807729
nao,9,3,0.295474431774969
pdo,9,3,0.240027116891701
npo,9,3,0.275539960326637
oni,10,1,0.278594437347553
nao,10,1,0.252299944254963
iod,10,1,0.294713057798655
npgo,10,1,0.362044356358477
npo,10,1,0.367645083171036
nao,10,2,0.254732670598557
npo,10,2,0.349505402667803
oni,10,3,0.279734724972808
pdo,10,3,0.280776951010517
iod,10,3,0.298212456630094
npgo,10,3,0.260858549624413
iod,11,1,0.272281465888268
nao,11,2,0.259977459463309
oni,11,3,0.359256520370207
nao,11,3,0.314453327375187
npgo,11,3,0.277251906647578
npo,11,3,0.391261612788231
oni,12,1,0.329725663880277
nao,12,1,0.389868421520933
pdo,12,1,0.30416005412112
npo,12,1,0.324107029582571
oni,12,2,0.292706645774854
pdo,12,2,0.369887222553926
iod,12,2,0.272715979612653
npgo,12,2,0.246634452136754
oni,13,1,0.597705096838171
nao,13,1,0.330798193811361
pdo,13,1,0.317817057684519
npgo,13,1,0.253477921576389
npo,13,1,0.357649608888269
oni,13,2,0.577139850074693
nao,13,2,0.244729593079616
pdo,13,2,0.436535455677915
iod,13,2,0.312644546791481
npgo,13,2,0.362231960440202
npo,13,2,0.378457788882973
oni,13,3,0.276980797878824
nao,13,3,0.327902764130574
iod,13,3,0.32268041191249
oni,14,1,0.341888875038247
nao,14,1,0.408094181440655
pdo,14,1,0.291656234061933
iod,14,1,0.274985617988198
npgo,14,1,0.437167897738594
nao,14,2,0.361690720511269
npgo,14,2,0.302913582750333
npo,14,2,0.283236997745732
iod,14,3,0.23589800030975
oni,15,2,0.322355781153496
nao,15,2,0.241468820971282
pdo,15,2,0.236035647797245
npgo,15,2,0.363027499761871
oni,15,3,0.26024379537116
nao,15,3,0.251486645097107
pdo,15,3,0.247614717673097
iod,15,3,0.277321631776567
npgo,15,3,0.266673550075612
oni,16,1,0.364600085660732
npgo,16,1,0.338215853455418
npo,16,1,0.263488047603082
oni,16,3,0.265541914566357
iod,16,3,0.354050818777562
npgo,16,3,0.358873719083576
oni,17,1,0.318342114562082
nao,17,2,0.244839160052036
oni,17,3,0.234330038864679
nao,17,3,0.354088833837984
oni,18,1,0.328934467226333
nao,18,1,0.324614139629812
npgo,18,3,0.266682579352776
nao,19,1,0.329010026883913
iod,19,1,0.302930757480894
oni,19,2,0.296921441418111
nao,19,2,0.259421528091286
npgo,19,2,0.262840298368752
nao,19,3,0.251810992138311
pdo,19,3,0.340010214190925
oni,20,1,0.490396869795451
pdo,20,1,0.313697083057711
iod,20,1,0.268322955056423
npo,20,1,0.270392410027972
iod,20,2,0.244328809469327
oni,20,3,0.30502796063621
pdo,20,3,0.286581561624231
iod,20,3,0.281909559316374
npgo,20,3,0.465933096025223
oni,21,1,0.274598142644201
nao,21,1,0.32560424765082
pdo,21,1,0.360902290910062
npo,21,1,0.313783553924609
oni,21,2,0.275250258686595
nao,21,2,0.391108840278217
oni,21,3,0.295775450609716
iod,21,3,0.236058732860442
oni,22,1,0.297973481201601
nao,22,1,0.27759622510232
pdo,22,1,0.258931834665648
npgo,22,1,0.299753929530608
oni,22,2,0.257234006321176
nao,22,2,0.240624709350161
pdo,22,2,0.265699381084769
oni,22,3,0.272310040447603
iod,22,3,0.332670218869804
npo,22,3,0.268438418969098
pdo,23,1,0.286887481318714
iod,23,1,0.27513654420986
oni,23,2,0.23324175787013
nao,23,2,0.290936157969561
nao,23,3,0.245962341927697
npgo,23,3,0.279681784372277
oni,24,1,0.275347907773948
nao,24,1,0.27896018570683
nao,24,2,0.28050362371527
npgo,24,3,0.237452232738413
npo,24,3,0.233679924423446
nao,25,1,0.314072409690726
iod,25,1,0.256721501039737
npgo,25,1,0.234989092505666
oni,25,2,0.293852141220768
pdo,25,2,0.275479472790719
npgo,25,2,0.237095496608763
npo,25,2,0.466697830231227
oni,25,3,0.331693655526361
nao,25,3,0.300685268530851
npgo,25,3,0.309101557161638
oni,26,2,0.371676282547652
oni,26,3,0.232431816481316
pdo,26,3,0.292787948699294
iod,26,3,0.23977976036455
oni,27,1,0.235124982154983
iod,27,1,0.255418749116976
oni,27,2,0.26843924745642
nao,27,2,0.236575139420334
iod,27,2,0.344996195282375
npo,27,2,0.248335847036866
oni,27,3,0.392354250300402
pdo,27,3,0.401932432232495
npgo,27,3,0.327983857289486
npo,27,3,0.309638140362771
oni,28,1,0.243419696528174
pdo,28,1,0.247391868800744
npo,28,1,0.363890429481738
nao,28,2,0.261424666292078
npgo,28,2,0.242172652439408
oni,28,3,0.242825562737627
pdo,28,3,0.26551027844357
npgo,28,3,0.255937963799702
