"","year","PC1","PC2","PC3","tas","hurs","pr","ps","rsds","rlds","sfcwind","tasmax","tasmin"
"1",1950,-15.7352120805581,-7.22643115210938,3.20670667833411,300.123369066981,52.6975577945465,2.83096315453415e-05,96891.160377628,240.815585678631,381.838457180769,2.72683702700753,305.835549140107,294.988209224052
"2",1951,2.46903492637594,-4.83348431489956,0.498400847293149,300.136935385751,52.7153910056329,2.75270276414044e-05,96897.8534477834,241.748592258153,381.985859649491,2.64685992970109,305.878811740352,295.014791987278
"3",1952,-30.7209967757923,-13.4318398764041,10.56749782848,299.979871397698,50.8203737757542,2.51748971491089e-05,96886.187214351,243.237687524102,378.685038397473,2.67159125050853,305.919788032825,294.69418000216
"4",1953,13.026153173766,2.69391825397857,8.87762672010469,300.460642533939,53.6441988029689,2.91750690784012e-05,96878.4500257084,239.215892031598,385.998288728201,2.70117812357176,306.140293546743,295.405873690924
"5",1954,13.38878485826,-3.27666844501073,-0.204531956559689,300.500842608743,53.9172938345119,2.88610222351236e-05,96864.693755713,238.942605919986,386.506691774023,2.69647479340625,306.131954325618,295.453167345232
"6",1955,14.8780382443904,-0.0454832231235054,1.84579661573215,300.503183368355,53.241734701711,2.84396663907087e-05,96835.2186785878,239.341496525125,385.770325822848,2.68229527512678,306.159365526719,295.437509484439
"7",1956,3.44464424206775,0.666763448052223,-6.85701726876154,300.535870818813,52.8363074803047,2.54819851882113e-05,96852.876556787,240.168816937825,385.534896599527,2.7265884483972,306.269120908524,295.419475938982
"8",1957,16.2411408294018,-13.027002996066,-2.69948289087678,300.448214068927,53.9369084255351,3.06720044385859e-05,96933.9831609918,238.259088296559,387.026341188978,2.63775104872705,305.948197833799,295.508598257898
"9",1958,26.955146681884,8.12882099227642,-8.68226408317498,300.668900121936,54.2162213090133,3.02026706918975e-05,96924.7366173446,238.56418652857,388.190415684004,2.69781999962857,306.218214129181,295.650762526601
"10",1959,-8.15004569649762,5.70405085555479,-4.82383414616349,300.330201534292,51.555302928527,2.6693254419948e-05,96897.4537534278,242.007439036256,382.343304900844,2.74985894097707,306.081096307451,295.1594616543
"11",1960,-10.2940404776626,-6.46058717044455,-1.27595253683463,300.23463582208,52.4492409861284,2.93825606015088e-05,96900.2709523537,241.134793827259,382.285219126253,2.70048340561185,305.996021277726,295.067224757109
"12",1961,-24.1570210312029,2.20058902039585,8.91061040081819,300.136903752357,51.3513959016399,2.92928364904673e-05,96932.0922503428,240.497944470951,380.527681228666,2.72082459577913,305.909450942463,294.965777465151
"13",1962,-12.274800356646,0.811265194923867,-8.51155287341969,300.24648194252,52.8497033302265,2.67534107310387e-05,96928.2143510055,241.901839094145,382.740058354965,2.7597783248211,305.988833969646,295.073128318438
"14",1963,17.1164591302663,1.88971289047967,4.75397481680406,300.672273513822,52.007794828258,2.60248949697975e-05,96875.4019224177,240.674022723378,385.16377104876,2.65396184829733,306.458512998368,295.501181370597
"15",1964,-11.2081481090644,15.1433763732398,-4.81085312975819,300.391583932601,51.3367111303689,2.5533227839976e-05,96899.6796303702,242.391282662177,382.479544742452,2.73450774684467,306.187492691403,295.196530469375
"16",1965,-6.16902402378851,-0.788048766518117,-0.0901428261338045,300.272270802388,52.3453079342188,2.74213831768528e-05,96920.7864488117,239.811613428091,382.648974486635,2.67757320164327,305.976411027926,295.163687529904
"17",1966,25.9733245973671,1.33808986237883,-0.64134024344264,300.650975312786,53.169312349839,2.92211682267033e-05,96891.837651394,240.829596064426,386.1045711873,2.63841717737902,306.415260440471,295.519621240591
"18",1967,-38.3043991140488,15.8172552518423,-8.38027900886488,300.031313489952,51.0858697176416,2.57525912308268e-05,96927.3724434415,243.301469652919,379.050038562614,2.7814157229237,305.920464050181,294.829000636908
"19",1968,7.92677817639517,7.10479753645996,-3.75720636144409,300.578305092765,50.9750816582326,2.50873191620738e-05,96934.7288619744,244.077548122929,383.215603620958,2.63983847497804,306.447042573305,295.374196667994
"20",1969,45.1398518287171,2.27306510422895,-2.98809581712391,301.151937313882,50.9481431413612,2.3577635063202e-05,96877.0944641225,244.724856695702,387.325399953225,2.62916745596873,307.120201822173,295.863070025958
"21",1970,8.60778015347752,13.3963685190653,3.19079885802473,300.73463035458,49.6461816261194,2.21859370437798e-05,96905.0094406993,247.459311281305,381.919587130085,2.70933021139183,306.84937650412,295.309651097606
"22",1971,7.78692443947693,5.17291051192461,-5.65675183764949,300.633654941371,49.9641983862115,2.19517781413084e-05,96880.0538019881,246.981680191849,381.788414991752,2.68549666064749,306.754052477737,295.229716745547
"23",1972,13.7673814406159,-1.80098011191722,-1.20786889298933,300.959339929891,49.1080203954219,1.94935199472304e-05,96869.4524394424,247.784266972237,384.203429004174,2.69945920973853,307.042525938268,295.529226522777
"24",1973,8.10658415355812,-11.2713249560253,0.686205436280603,300.652669401012,49.6988431034402,2.44364865473262e-05,96924.7241202011,246.308198025719,382.088477879163,2.66251555112424,306.70768093409,295.25972545561
"25",1974,-25.5383218080657,-2.09256509032976,-4.24723046147534,300.034705237017,50.6344386245476,2.37201246996494e-05,96914.504698926,245.282140365684,378.924691264764,2.68658988109672,305.968875250389,294.741647668033
"26",1975,-34.4153431218136,-8.70551116867971,-8.81560218709514,300.078520835862,50.5408607287642,2.36192429703733e-05,96920.1188442642,244.077065560238,379.182068540584,2.70692457305012,306.073605608897,294.744720347403
"27",1976,-1.54303021455044,-10.6563707761069,-13.7847037500596,300.480146167483,52.3413750510765,2.41558128169458e-05,96910.0246800731,242.762170516159,384.789944273898,2.71342857577029,306.252427458545,295.325955852948
"28",1977,-20.3755364132371,11.4888081481694,1.81717667798932,300.403787281657,50.0080000094565,2.36633650638313e-05,96944.2232204068,245.573843696218,380.587717840833,2.77725568833255,306.354451739156,295.105916527115
"29",1978,3.27607217906165,14.3128235004979,-8.82536668010535,300.64751471985,52.0398501373514,2.48159332990396e-05,96955.7825782678,243.40881980882,385.568162266036,2.73819557230041,306.387621557037,295.518664149087
"30",1979,18.6722573568527,-14.8058692184869,7.23722899759349,300.536130580867,53.2228970780451,2.8732401142323e-05,96943.2717521709,239.366681282002,387.596628248365,2.60580769077733,306.415691201386,295.365738835588
"31",1980,21.3209400631334,1.67948056456032,-2.99133839957003,300.803427129603,53.0527782509924,2.95816909215942e-05,96957.7886054616,238.019297095932,388.896648176845,2.6531859661369,306.809917889304,295.600866621112
"32",1981,-8.53836588844347,2.85324517416745,7.60731973216467,300.530702636272,51.0961078141681,2.62267908560575e-05,96970.8419932587,243.235856887845,383.375829665273,2.6956324017244,306.734089964704,295.099845928074
"33",1982,-3.84413417735689,-7.19341798447556,-5.24754962665412,300.448618663948,51.7290974012023,2.42350396446815e-05,96984.5761968693,240.516080057817,384.595071796089,2.65875063452468,306.460848904179,295.1469474388
"34",1983,-22.012662489252,8.77630750944145,7.69846681366557,300.919228060372,47.6210597559565,2.00837584173113e-05,97017.5801388254,246.322036994223,382.042296972746,2.85619414462904,306.982106991616,295.436475680559
"35",1984,10.8293180743158,-3.99042276728509,3.13508637433592,300.850979597521,49.1171564768176,2.31092253770557e-05,96888.8519909735,249.216987512229,382.865714231836,2.68185513459786,306.979551827886,295.434043591376
"36",1985,-13.6768211279421,-6.26716228345071,5.78931518832071,300.49905066342,50.723987045846,2.75027552334411e-05,96929.7622829068,243.738038504145,382.900470907989,2.71002502208218,306.31645116161,295.338174823433
"37",1986,-0.575213857547034,-13.8365695896138,-5.21015029591485,300.65686905493,50.7779064631767,2.52215464055722e-05,96966.8072869059,244.602431916232,384.526092138761,2.70355059797629,306.699200896938,295.303972875396
"38",1987,31.7763955542597,5.86428091873734,19.4601440989867,301.409013375068,48.4132479331175,2.32178195455424e-05,96950.2406735603,249.336797208629,385.891190551535,2.68208035014883,307.544695364274,295.859099616516
"39",1988,-2.76526565585067,-3.53495287304811,10.8291013473777,300.821686851041,50.7980372866503,2.90426535703795e-05,96920.5210094835,240.890035514204,386.250729967079,2.74606537884289,306.713057941667,295.551060427259
"40",1989,-38.5105478014782,11.2574150260032,10.7548231249469,300.340437699062,49.2510507642896,2.50723356720728e-05,96974.4108203839,248.520073955194,379.39154778015,2.76743273761198,306.420172710523,294.866480797693
"41",1990,11.6086948818168,-2.75640931796852,3.93729999367348,301.210209150855,49.0274652972736,2.2328563051538e-05,96963.8153707724,248.407707395676,386.856498146406,2.75049394685128,307.201201499925,295.816101018428
"42",1991,16.1650584051106,-2.99873319211372,-2.98611585724399,300.788199137072,52.2316627537311,2.63870499291765e-05,96978.8132569698,241.75798380571,388.066413391225,2.66257342265772,306.577097779436,295.625117328093
"43",1992,-44.8577018088503,2.30693816317907,-3.54689899415813,300.352315397106,50.7173045330989,2.50500470474685e-05,97005.5120115402,240.453758002635,382.703462980783,2.77528147876154,306.247306809783,295.150050301003
"44",1993,7.9820405645211,1.5848218935227,0.00756130964338686,300.940291103105,50.4318902156907,2.29920575714025e-05,96981.7628970521,247.074916944207,385.806460253281,2.69593568247023,307.008703144638,295.54537132584
"45",1994,-16.7527929112541,-1.64260628425507,-2.02440182429431,300.538067917065,51.8345480401076,2.90084522607162e-05,96984.6120172532,241.302149185097,384.106589922303,2.71869951824383,306.448360854573,295.342756644463
"46",1995,-10.6991646478013,-5.73067319548677,1.73083159547871,300.730319900094,50.9362593342225,2.61007955981239e-05,96952.1501799589,244.611398560909,385.373996099999,2.72052887588794,306.59061059481,295.407115259816
"47",1996,4.08120461413875,4.08294057354343,-3.94220449379093,300.879107543276,51.0835330202985,2.52581614946374e-05,96916.8243258684,246.22510209162,384.707335477337,2.66907425053159,306.848537019663,295.453503931244
"48",1997,4.18754293893379,-1.45865042535378,-5.78547236621068,300.810672571716,51.1801044631484,2.38905480546486e-05,97005.0189670932,245.86920601184,385.848931014429,2.6502387585762,306.639634880331,295.600708119394
"49",1998,12.9682354091158,-2.71083509179562,4.31365705166617,301.312749831289,50.0586088658251,2.60190169801534e-05,96986.9882026965,245.725121813675,386.678848015543,2.73662554411391,307.148526542148,296.041688685443
"50",1999,-1.03596276661388,-16.1732601160258,-2.26127857294812,300.724702266714,51.9330222044392,2.81551081797755e-05,96920.9665647852,243.920554961321,384.52241736487,2.63577738300756,306.554217239185,295.492480067056
"51",2000,-23.4593963336981,5.5962166327605,2.74633870492315,300.743907252003,49.3512690054215,2.30470934439492e-05,96933.8587894196,251.192403817743,380.387179303213,2.74974506406941,306.80234958572,295.306666177195
"52",2001,-16.4265324272536,0.962413335970295,4.59378870608481,300.958258313278,49.1240528950526,2.21179555454406e-05,96962.423431787,249.420702304875,381.759744591861,2.73765822585802,307.045390350509,295.413721562304
"53",2002,6.14469119082658,0.5498090232732,-1.52217290590073,301.217818181737,49.1089821977633,2.16914171659826e-05,96965.3404650366,249.67692024747,385.739742132602,2.73391423866126,307.131791974334,295.866100527469
"54",2003,18.3838121369342,9.19618731843417,2.41623518351728,301.232345106833,51.0510588720904,2.44480080841948e-05,96952.1609346435,246.705365364033,387.287962081881,2.63097324406207,307.14638082724,295.922152559326
"55",2004,9.3005962809111,8.02393304686085,2.7472060185219,301.336029331688,49.6295425687019,2.01780781811797e-05,96954.0016139168,250.140160959861,386.192716887926,2.68560500511086,307.289146018856,295.967834305284
"56",2005,22.0608657244934,3.71427564108654,0.0380387521775889,301.543506796661,50.4028845129763,2.25484525673037e-05,96929.3996086609,247.117788116065,388.561731425674,2.72932369007271,307.388117146884,296.293678632384
