index,region,cluster,pc,cor
nao,Africa,1,2,0.337805812095488
npo,Americas,1,2,0.244963548495223
pdo,Antarctica,1,3,0.244802169283367
oni,Asia,2,1,cor04
iod,Europe,2,1,0.266912604971422
npgo,Oceania,2,1,0.363942725115472
nao,Africa,2,2,0.263785816484423
iod,Americas,2,2,0.275390833563745
npgo,Antarctica,2,2,0.34323633344812
npo,Asia,2,2,0.305444060737722
oni,Europe,2,3,0.259147652834663
iod,Oceania,2,3,0.383383644843805
oni,Africa,3,1,cor04
nao,Americas,3,1,0.256608297104712
iod,Antarctica,3,1,cor04
npo,Asia,3,1,0.268634493907385
oni,Europe,3,2,cor04
nao,Oceania,3,2,0.309911979470988
pdo,Africa,3,2,cor04
iod,Americas,3,2,0.235062747093047
npgo,Antarctica,3,2,cor04
npo,Asia,3,2,0.260765946593546
iod,Europe,3,3,0.254819280397726
npgo,Oceania,3,3,0.308369641870058
oni,Africa,4,1,0.352430173482129
pdo,Americas,4,1,cor04
iod,Antarctica,4,1,0.231325665105475
npgo,Asia,4,1,0.311140817400618
oni,Europe,4,2,0.307849414200549
nao,Oceania,4,2,0.310500741373818
pdo,Africa,4,2,0.294911608801286
npo,Americas,4,2,0.27834006259006
nao,Antarctica,5,1,0.234229392448074
npo,Asia,5,1,0.244204987091215
nao,Europe,5,2,0.325979968181971
npgo,Oceania,5,2,0.273131324517992
oni,Africa,5,3,0.270535620180034
npo,Americas,5,3,0.3273096065539
oni,Antarctica,6,1,0.271460384409419
nao,Asia,6,1,0.231784838526668
pdo,Europe,6,1,0.265333449734757
npgo,Oceania,6,1,0.251814941233685
oni,Africa,6,2,0.299033159511551
iod,Americas,6,2,0.321381063867571
npgo,Antarctica,6,2,0.341710068496679
npo,Asia,6,2,0.274971028667348
oni,Europe,6,3,0.25235069417327
nao,Oceania,6,3,0.329841895045598
pdo,Africa,6,3,0.241665822824889
iod,Americas,6,3,0.261409145366495
npgo,Antarctica,6,3,0.241057026746024
oni,Asia,7,1,0.282487034505045
nao,Europe,7,1,0.282004352479811
pdo,Oceania,7,1,0.276768322671871
iod,Africa,7,1,0.245407820536664
npo,Americas,7,1,0.369957618207582
oni,Antarctica,7,2,0.266428110829482
nao,Asia,7,2,0.288597633407406
iod,Europe,7,2,0.233438100376885
oni,Oceania,7,3,0.316022815793199
nao,Africa,7,3,0.236760506856027
pdo,Americas,7,3,0.255637187613742
iod,Antarctica,7,3,0.284777658888054
npo,Asia,7,3,0.374697383979136
oni,Europe,8,1,cor04
pdo,Oceania,8,1,cor04
iod,Africa,8,1,0.298743328945677
npgo,Americas,8,1,0.243177257981797
npo,Antarctica,8,1,0.312802555333744
oni,Asia,8,2,0.234125640291925
nao,Europe,8,2,0.239487723861555
iod,Oceania,8,2,0.260846822330485
npgo,Africa,8,2,0.241152225226336
oni,Americas,8,3,0.346275064625852
pdo,Antarctica,8,3,cor04
npgo,Asia,8,3,0.35372391207865
npo,Europe,8,3,0.294686711386046
oni,Oceania,9,1,cor04
pdo,Africa,9,1,0.254707430844315
iod,Americas,9,1,0.300361462170136
npgo,Antarctica,9,1,0.272927556648417
oni,Asia,9,2,0.316296359565692
npgo,Europe,9,2,0.288100736688561
npo,Oceania,9,2,0.276459524759183
iod,Africa,9,3,0.262992544802088
npgo,Americas,9,3,0.398971780793478
oni,Antarctica,10,1,0.34466958413797
nao,Asia,10,1,0.258315538050517
pdo,Europe,10,1,0.29343424197691
npgo,Oceania,10,1,0.27267983945406
npo,Africa,10,1,0.273666152112027
oni,Americas,10,2,0.287090664319152
nao,Antarctica,10,2,cor04
iod,Asia,10,2,0.245072955320582
npgo,Europe,10,2,0.23361142171319
nao,Oceania,10,3,0.269321107757611
pdo,Africa,10,3,0.294048256137095
oni,Americas,11,1,0.312467016187959
nao,Antarctica,11,1,0.354656302542614
pdo,Asia,11,1,0.388687569775847
npgo,Europe,11,1,0.34406291201873
nao,Oceania,11,2,0.250981989624442
pdo,Africa,11,2,0.265480202244001
npgo,Americas,11,2,0.232744059987816
npo,Antarctica,11,2,0.307312672669003
oni,Asia,12,1,0.262711273480505
npgo,Europe,12,1,0.244642116899395
npo,Oceania,12,1,0.298319080521954
oni,Africa,12,2,0.327021652278602
pdo,Americas,12,2,0.340098204454843
npgo,Antarctica,12,2,0.285980047544328
iod,Asia,12,3,0.360785180840097
nao,Europe,13,1,0.25641604831983
