"","cluster","pc_variance_sum","slope_mean","intercept_mean","direction","index","climate_zone","cluster_reorder"
"1",1,0.31839,-10.6150668207815,7.97243794173161,"positive","enso","continental-polar",37
"2",1,0.31839,-10.2602011974549,6.93149065733384,"positive","pdo","continental-polar",37
"3",1,0.31839,8.09196509661204,6.51748695310648,"negative","pdo","continental-polar",37
"4",1,0.31839,-0.266253101641498,-2.87719250649537,"negative","enso","continental-polar",37
"5",2,0.11717,0.764175774542269,1.85673972574746,"negative","pdo","continental-polar",38
"6",2,0.11717,0.774219543095115,3.96393657242039,"negative","enso","continental-polar",38
"7",2,0.11717,-15.7450231230332,6.76340392658991,"positive","pdo","continental-polar",38
"8",2,0.11717,-4.31641962300117,-1.18629754481383,"positive","enso","continental-polar",38
"9",3,0.44999,-13.0359790530481,-8.74527293730833,"negative","pdo","continental-polar",39
"10",3,0.44999,10.6576718238657,-11.4257084276522,"positive","pdo","continental-polar",39
"11",4,0.56847,-2.07831985706327,2.582665513274,"positive","enso","continental-polar",40
"12",4,0.11173,-0.0211300881732718,4.08971386774586,"positive","pdo","continental-polar",40
"13",4,0.56847,0.80593785648971,-2.90595716853347,"negative","nao","continental-polar",40
"14",4,0.56847,-20.8788170844173,-3.14030021292794,"negative","iod","continental-polar",40
"15",4,0.56847,0.427536148914416,-1.49357008172578,"positive","iod","continental-polar",40
"16",4,0.56847,-7.68298456348526,-5.5580833916839,"negative","enso","continental-polar",40
"17",4,0.56847,17.1085806724862,-1.67973446959332,"positive","nao","continental-polar",40
"18",4,0.11173,0.97809742311601,-1.07757939367536,"negative","pdo","continental-polar",40
"19",5,0.40241,15.3454576467505,-0.643889674149925,"positive","pdo","dry-temperate-continental-polar",18
"20",5,0.40241,12.3694614220597,0.611081830595478,"positive","enso","dry-temperate-continental-polar",18
"21",5,0.40241,-12.1164374987956,2.30905049180559,"positive","iod","dry-temperate-continental-polar",18
"22",5,0.40241,26.9750336163416,6.56481072949159,"negative","enso","dry-temperate-continental-polar",18
