"","cluster","pc_variance_sum","slope_mean","intercept_mean","direction","index","climate_zone","cluster_reorder"
"1",1,0.16185,-7.88732728578837,4.03618281701651,"positive","nao","continental-polar",37
"2",1,0.16185,2.07390408463478,-0.747111805281059,"negative","nao","continental-polar",37
"3",2,0.28303,7.21179893343244,1.46187571308449,"positive","enso","tropical-dry-temperate",4
"4",2,0.28303,14.6336690193155,2.09768189595692,"negative","enso","tropical-dry-temperate",4
"5",2,0.11411,-9.47379064141528,-0.842120334330283,"negative","nao","tropical-dry-temperate",4
"6",2,0.39714,-3.7277775655337,-1.91644160269099,"negative","iod","tropical-dry-temperate",4
"7",2,0.11411,-5.68519977081276,-0.30032796057327,"positive","nao","tropical-dry-temperate",4
"8",2,0.39714,9.52144868426583,-0.408923455108356,"positive","iod","tropical-dry-temperate",4
"9",3,0.67872,-5.91670340298688,-2.11593229530971,"positive","enso","tropical-dry-temperate",5
"10",3,0.67872,1.2308168024003,2.92409286448212,"negative","iod","tropical-dry-temperate",5
"11",3,0.67872,-3.23841984816959,0.756446431602593,"negative","nao","tropical-dry-temperate",5
"12",3,0.67872,-22.4058632340864,1.05146677411501,"positive","iod","tropical-dry-temperate",5
"13",3,0.17309,-8.71030236048902,0.330331152370718,"positive","pdo","tropical-dry-temperate",5
"14",3,0.17309,-4.73854278380331,-1.78418778832022,"negative","pdo","tropical-dry-temperate",5
"15",3,0.67872,-0.202017579530039,-1.88404922079036,"positive","nao","tropical-dry-temperate",5
"16",3,0.67872,-3.21904754979843,3.75555647812399,"negative","enso","tropical-dry-temperate",5
"17",4,0.77784,-0.404486622478639,-6.23428504138339,"positive","enso","continental-polar",38
"18",4,0.77784,-12.0604916251704,-4.28899675632642,"negative","iod","continental-polar",38
"19",4,0.77784,-29.4981322432507,8.50561784645497,"positive","iod","continental-polar",38
"20",4,0.77784,-15.4427958552788,-10.2253966185233,"negative","pdo","continental-polar",38
"21",4,0.77784,0.423334602319112,-6.59338939215983,"positive","pdo","continental-polar",38
"22",4,0.77784,-12.8942095502741,0.192518555544127,"negative","enso","continental-polar",38
"23",5,0.85511,6.16642370524458,-2.54475575112729,"positive","nao","continental-polar",39
"24",5,0.85511,12.3759042638008,3.92043003818638,"negative","nao","continental-polar",39
"25",6,0.63329,-24.2488456411861,-6.26133585065882,"negative","enso","continental-polar",40
"26",6,0.63329,-11.3394405163928,-7.82028474382241,"negative","pdo","continental-polar",40
"27",6,0.82406,-19.2021424012917,-4.33454851714152,"negative","iod","continental-polar",40
"28",6,0.63329,-2.66331359506253,-2.41506357039976,"positive","pdo","continental-polar",40
"29",6,0.63329,-10.0017594152408,-0.775223656219825,"positive","enso","continental-polar",40
"30",6,0.82406,-8.83507174494379,2.43031991759147,"positive","iod","continental-polar",40
"31",7,0.72096,3.17848109440606,1.36421151341659,"negative","pdo","continental",30
"32",7,0.83391,1.87846166215621,-1.59311026304779,"negative","nao","continental",30
"33",7,0.72096,-5.49278483053016,6.13672607268351,"positive","pdo","continental",30
"34",7,0.83391,-8.5676324243533,-8.16974738460961,"negative","enso","continental",30
"35",7,0.83391,-24.9861926949737,-3.97126842854292,"negative","iod","continental",30
"36",7,0.83391,-5.74974986749091,6.48463520735665,"positive","enso","continental",30
"37",7,0.83391,-0.16342314310856,-1.3671005121252,"positive","iod","continental",30
"38",7,0.83391,14.7785714125516,-2.15017072610093,"positive","nao","continental",30
"39",8,0.72136,-18.5105231913146,-6.78796009006426,"negative","enso","dry-temperate-continental",14
"40",8,0.57394,-11.0045490897479,-4.69230608323808,"positive","pdo","dry-temperate-continental",14
"41",8,0.72136,-4.46099911151605,-0.30062040294862,"positive","enso","dry-temperate-continental",14
"42",8,0.72136,19.2809033522638,3.86927774228434,"negative","iod","dry-temperate-continental",14
"43",8,0.14742,-4.12386521624062,-0.158781531883443,"negative","nao","dry-temperate-continental",14
"44",8,0.57394,-11.8942997342585,-4.90636772323855,"negative","pdo","dry-temperate-continental",14
"45",8,0.72136,1.48338799037099,-0.287587155183306,"positive","iod","dry-temperate-continental",14
"46",8,0.14742,-0.37740698418416,-1.03536180246199,"positive","nao","dry-temperate-continental",14
