,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72
Africa1,0.50165,0.10963,0.07395,0.05466,0.03482,0.02517,0.01989,0.01826,0.01511,0.01338,0.01177,0.00924,0.00833,0.00792,0.00771,0.00641,0.00573,0.00534,0.0047,0.00435,0.00391,0.00359,0.00307,0.00306,0.00274,0.00261,0.00235,0.0023,0.00221,0.002,0.00189,0.00181,0.00177,0.00162,0.00153,0.00146,0.00135,0.00123,0.00116,0.00114,0.0011,0.00107,0.00102,0.00096,0.00092,0.00091,0.00085,0.00082,0.00077,0.00076,0.00073,0.00071,0.00067,0.00066,0.00061,0.00057,0.00054,0.00052,5e-04,0.00049,0.00046,0.00044,0.00043,0.00041,0.00038,0.00037,0.00035,0.00033,0.00032,0.00027,0.00023,0
Africa2,0.3871,0.26558,0.10185,0.056,0.03929,0.0185,0.01706,0.01392,0.01093,0.00978,0.00708,0.00635,0.00531,0.00509,0.00412,0.00386,0.00344,0.00328,0.00295,0.00263,0.00236,0.00216,0.00196,0.00183,0.00173,0.00167,0.0016,0.00146,0.0014,0.00128,0.00127,0.00112,0.00103,0.00101,0.00086,0.00084,0.00081,0.00073,0.00071,0.00067,0.00064,0.00059,0.00056,0.00053,0.00051,5e-04,0.00047,0.00044,4e-04,0.00038,0.00035,0.00033,0.00032,0.00029,0.00029,0.00026,0.00025,0.00024,0.00023,0.00022,2e-04,0.00019,0.00017,0.00016,0.00015,0.00014,0.00013,1e-04,9e-05,9e-05,8e-05,0
Africa3,0.65279,0.10658,0.07108,0.03903,0.01894,0.01554,0.01299,0.00893,0.00722,0.00661,0.00571,0.00538,0.00481,0.00377,0.00334,0.00312,0.00279,0.00238,0.00214,0.00194,0.00189,0.00175,0.00162,0.00137,0.00119,0.00112,0.00103,0.00093,0.00088,0.00086,0.00078,0.00076,7e-04,0.00068,0.00062,0.00058,0.00056,5e-04,0.00046,0.00044,0.00042,0.00038,0.00036,0.00034,0.00033,3e-04,0.00029,0.00028,0.00026,0.00025,0.00024,0.00023,0.00022,2e-04,2e-04,0.00019,0.00017,0.00017,0.00015,0.00015,0.00014,0.00013,0.00012,0.00011,0.00011,1e-04,9e-05,9e-05,8e-05,6e-05,5e-05,0
Africa4,0.65817,0.12587,0.05522,0.03808,0.03027,0.0147,0.0101,0.00924,0.00636,0.0057,0.00527,0.00389,0.00361,0.00293,0.00248,0.00213,0.0021,0.0019,0.0017,0.00168,0.0015,0.00132,0.00123,0.00099,0.00093,0.00089,0.00083,0.00076,0.00068,0.00064,0.00061,0.00056,0.00049,0.00044,0.00042,0.00041,0.00039,0.00038,0.00035,0.00034,0.00031,0.00029,0.00026,0.00024,0.00024,0.00022,0.00021,0.00021,0.00019,0.00018,0.00017,0.00016,0.00016,0.00014,0.00013,0.00012,0.00012,0.00011,1e-04,1e-04,9e-05,9e-05,9e-05,8e-05,7e-05,7e-05,7e-05,6e-05,6e-05,5e-05,5e-05,0
Latinamerica1,0.36775,0.1692,0.09379,0.05459,0.0443,0.03588,0.0325,0.02559,0.02048,0.01688,0.01503,0.01186,0.01071,0.00985,0.00752,0.00673,0.00592,0.00544,0.00454,0.00432,0.00413,0.00335,0.00295,0.00272,0.00245,0.00238,0.00216,0.00209,0.00202,0.00177,0.00168,0.0016,0.00155,0.00149,0.00146,0.00133,0.00126,0.00119,0.00114,0.00109,0.00108,0.00105,0.00098,0.00093,0.00089,0.00085,0.00079,0.00075,0.00072,0.00068,0.00064,6e-04,0.00059,0.00055,0.00053,5e-04,0.00049,0.00047,0.00045,0.00042,0.00039,0.00038,0.00036,0.00034,0.00031,0.00029,0.00029,0.00028,0.00027,0.00025,0.00023,0
Latinamerica2,0.60711,0.0905,0.05108,0.03412,0.02532,0.02107,0.01992,0.01505,0.01215,0.0114,0.0106,0.00837,0.00695,0.00612,0.00575,0.00517,0.00457,0.00412,0.00383,0.00378,0.00349,0.00312,0.00283,0.0028,0.00245,0.00235,0.00226,0.00198,0.00185,0.00166,0.00152,0.00147,0.00142,0.00132,0.00121,0.00118,0.00114,0.00106,0.00102,0.00095,9e-04,0.00086,0.00085,0.00081,8e-04,0.00075,7e-04,0.00069,0.00066,0.00064,0.00061,0.00058,0.00056,0.00055,5e-04,0.00048,0.00045,0.00043,0.00041,0.00039,0.00038,0.00036,0.00035,0.00034,0.00033,0.00031,3e-04,0.00029,0.00028,0.00022,0.00016,0
Latinamerica3,0.70307,0.11236,0.05451,0.02654,0.01743,0.01264,0.0104,0.00781,0.00659,0.00595,0.0042,0.00375,0.00311,0.00265,0.00216,0.002,0.00188,0.00168,0.00159,0.0015,0.00136,0.00124,0.00115,0.00096,0.00089,0.00087,0.00076,0.00071,7e-04,6e-04,0.00059,0.00052,5e-04,0.00044,0.00042,4e-04,0.00039,0.00035,0.00034,0.00033,0.00032,3e-04,0.00029,0.00027,0.00025,0.00024,0.00021,0.00021,0.00019,0.00019,0.00018,0.00017,0.00015,0.00015,0.00014,0.00013,0.00012,0.00012,0.00011,1e-04,1e-04,1e-04,9e-05,8e-05,8e-05,8e-05,7e-05,7e-05,6e-05,5e-05,4e-05,0
Latinamerica4,0.63665,0.13564,0.07069,0.04293,0.01882,0.01464,0.01115,0.00894,0.00685,0.00571,0.00462,0.00381,0.00349,0.00347,0.00284,0.00221,0.00202,0.00195,0.00163,0.00155,0.00138,0.00134,0.00125,0.00118,0.00098,0.00091,0.00085,0.00083,0.00075,0.00071,0.00064,6e-04,0.00054,0.00049,0.00048,0.00047,0.00045,4e-04,0.00037,0.00036,0.00034,0.00032,0.00032,0.00029,0.00028,0.00026,0.00025,0.00024,0.00022,0.00021,2e-04,2e-04,0.00018,0.00017,0.00016,0.00016,0.00015,0.00014,0.00014,0.00013,0.00012,0.00012,0.00011,0.00011,1e-04,1e-04,9e-05,9e-05,8e-05,7e-05,7e-05,0
Asia1,0.3938,0.10656,0.09096,0.07253,0.04503,0.03004,0.0261,0.02282,0.01998,0.0139,0.01278,0.01144,0.01073,0.00967,0.00899,0.00817,0.00781,0.00629,0.00583,0.00556,0.00511,0.00476,0.00429,0.00401,0.00374,0.0037,0.00355,0.00326,0.00297,0.00284,0.00276,0.0025,0.00239,0.00234,0.00223,0.00216,0.00207,0.00197,0.00192,0.00186,0.00169,0.00161,0.00156,0.00154,0.00148,0.00141,0.00135,0.00131,0.00123,0.00118,0.00115,0.00112,0.00106,0.00102,0.00098,0.00093,0.00088,0.00085,0.00082,0.00082,0.00077,0.00074,7e-04,0.00069,0.00067,0.00066,0.00059,0.00055,0.00052,0.00042,0.00031,0
Asia2,0.74818,0.07245,0.0492,0.02327,0.01859,0.01174,0.01075,0.00762,0.00609,0.00576,0.00462,0.00414,0.00361,0.00305,0.00263,0.00224,0.00203,0.00187,0.00168,0.00165,0.00153,0.0014,0.00124,0.00116,0.00093,0.00091,0.00085,0.00083,0.00069,0.00059,0.00054,0.00052,0.00048,0.00044,0.00042,4e-04,0.00037,0.00035,0.00032,0.00031,0.00029,0.00028,0.00026,0.00025,0.00024,0.00023,0.00022,0.00021,2e-04,0.00018,0.00018,0.00017,0.00016,0.00015,0.00013,0.00013,0.00013,0.00012,0.00011,0.00011,1e-04,9e-05,9e-05,9e-05,8e-05,7e-05,7e-05,6e-05,6e-05,5e-05,5e-05,0
