index,region,cluster,pc,cor
oni,Africa,1,1,cor04
pdo,Africa,1,1,0.325788760511636
iod,Africa,1,1,0.317632768262794
npgo,Africa,1,1,0.250424259584105
npo,Africa,1,1,0.237598289786119
nao,Africa,1,2,0.241139184424808
pdo,Africa,1,2,0.232984735545723
iod,Africa,1,2,0.354344714148027
npgo,Africa,1,2,0.265203777100754
oni,Africa,1,3,0.245190074729549
nao,Africa,1,3,0.287663291295172
pdo,Africa,1,3,0.241477467353408
iod,Africa,1,3,0.253659617624045
npgo,Africa,1,3,0.308539331679783
oni,Africa,2,1,cor04
nao,Africa,2,1,0.319270278106482
pdo,Africa,2,1,0.32818884841644
iod,Africa,2,1,0.28593361437093
iod,Africa,2,2,0.279308835471301
npgo,Africa,2,2,0.296470103286181
npo,Africa,2,2,0.24291424762463
pdo,Africa,2,3,0.26199429132033
npo,Africa,2,3,0.284504565656045
oni,Africa,3,1,0.300158902229226
nao,Africa,3,1,0.331833611048721
npo,Africa,3,1,0.306246244787905
nao,Africa,3,2,0.255211081791111
npo,Africa,3,2,0.238064598778121
oni,Africa,3,3,0.232390433069382
nao,Africa,3,3,0.257674159374608
pdo,Africa,3,3,0.313347439831579
iod,Africa,3,3,0.261446412063229
npo,Africa,3,3,0.294269580116506
oni,Africa,4,1,0.36612318358368
pdo,Africa,4,1,0.239025874363608
iod,Africa,4,1,0.234159759786725
npo,Africa,4,1,0.259463729582706
oni,Africa,4,2,0.31958091399923
pdo,Africa,4,2,0.262323094482244
iod,Africa,4,2,0.321379542773685
npo,Africa,4,2,0.243952095045294
oni,Africa,4,3,0.243673969884253
nao,Africa,4,3,0.253988976235097
iod,Africa,4,3,0.232483048476467
npgo,Africa,4,3,0.247906639454399
npo,Africa,4,3,0.233314396430179
oni,Latinamerica,1,1,0.388831491662044
pdo,Latinamerica,1,1,0.266241154920673
oni,Latinamerica,1,2,0.396911942439474
nao,Latinamerica,1,2,0.290800190622096
npgo,Latinamerica,1,2,0.289927553713118
npo,Latinamerica,1,2,0.255523573893917
oni,Latinamerica,1,3,0.240015329345268
nao,Latinamerica,1,3,0.30532162407499
pdo,Latinamerica,1,3,0.257790354003704
npgo,Latinamerica,1,3,0.281959542696127
npo,Latinamerica,1,3,0.241765652187187
oni,Latinamerica,2,1,cor04
nao,Latinamerica,2,1,0.314595192763521
pdo,Latinamerica,2,1,0.335352968268285
iod,Latinamerica,2,1,0.233394554767968
npo,Latinamerica,2,1,0.391397049395651
oni,Latinamerica,2,2,cor04
nao,Latinamerica,2,2,0.3137739999936
pdo,Latinamerica,2,2,cor04
iod,Latinamerica,2,2,0.286099859780397
npgo,Latinamerica,2,2,0.319703565698543
npo,Latinamerica,2,2,cor04
pdo,Latinamerica,2,3,0.245109396603287
npgo,Latinamerica,2,3,cor04
oni,Latinamerica,3,2,0.322936646424354
nao,Latinamerica,3,2,0.241270446487179
pdo,Latinamerica,3,2,0.234300396405195
npgo,Latinamerica,3,2,0.363353363451885
oni,Latinamerica,3,3,0.26013739675081
nao,Latinamerica,3,3,0.249045621086831
pdo,Latinamerica,3,3,0.247687222683729
iod,Latinamerica,3,3,0.276928536477189
npgo,Latinamerica,3,3,0.262511811196818
oni,Latinamerica,4,1,0.378797348000843
npgo,Latinamerica,4,1,0.331569916473294
npo,Latinamerica,4,1,0.249769242019774
oni,Latinamerica,4,2,0.30242412091708
pdo,Latinamerica,4,2,0.24531640989827
iod,Latinamerica,4,2,0.340450720838058
npgo,Latinamerica,4,2,0.369812495228808
pdo,Latinamerica,4,3,0.243698041134148
iod,Latinamerica,4,3,0.287616928969616
oni,Asia,1,1,cor04
nao,Asia,1,1,0.343051493604301
pdo,Asia,1,1,0.286622600704377
npo,Asia,1,1,0.234676501705232
oni,Asia,1,2,0.232212133959404
nao,Asia,1,2,0.343602110772159
npo,Asia,1,2,0.262389262434374
oni,Asia,1,3,cor04
nao,Asia,1,3,0.289582073225413
pdo,Asia,1,3,0.325293841054243
iod,Asia,1,3,0.277729221920192
npo,Asia,1,3,0.340552722259828
nao,Asia,2,1,0.288786273094721
pdo,Asia,2,1,0.235202383063417
oni,Asia,2,2,0.268985664144084
nao,Asia,2,2,0.335793239798713
pdo,Asia,2,2,0.274612209409139
iod,Asia,2,2,0.26060227545156
npo,Asia,2,2,0.26094906919288
nao,Asia,2,3,0.279303777523719
oni,Asia,3,1,0.294407922553382
npgo,Asia,3,1,0.240908145793533
oni,Asia,3,2,0.317213063319292
npgo,Asia,3,2,0.326433414560058
npo,Asia,3,2,0.252299675785044
oni,Asia,3,3,0.241535687172606
nao,Asia,3,3,cor04
iod,Asia,3,3,0.279142165821829
pdo,Asia,4,1,0.270328550955593
iod,Asia,4,1,0.252093472392381
oni,Asia,4,2,0.299963390173573
oni,Asia,4,3,0.270314115942758
nao,Asia,4,3,0.254384260352661
npgo,Asia,4,3,0.273588588668023
npo,Asia,4,3,0.293860276168193
oni,Asia,5,2,0.315989503802381
npo,Asia,5,2,0.269702601270837
oni,Asia,5,3,0.281875413826318
nao,Asia,5,3,0.277432533842764
pdo,Asia,5,3,0.299260856849711
iod,Asia,5,3,0.251351382415877
nao,Asia,6,1,0.258481305988941
pdo,Asia,6,1,0.23126500912713
oni,Asia,6,2,0.369545627625643
npo,Asia,6,2,0.311790360084424
pdo,Asia,6,3,0.291939619674328
npo,Asia,6,3,0.284606145420081
oni,Europe,1,1,0.24514227628639
iod,Europe,1,1,0.242309415840145
npo,Europe,1,1,0.369418006959566
oni,Europe,1,2,0.289683839101387
pdo,Europe,1,2,0.304362037782082
npgo,Europe,1,2,0.284555293301215
nao,Europe,1,3,0.26715970679127
npgo,Europe,2,1,0.268723772123862
oni,Europe,2,2,0.349456466539641
nao,Europe,2,2,0.293406672495963
pdo,Europe,2,2,0.236965862831164
npgo,Europe,2,2,0.246066707341623
npo,Europe,2,2,0.248308243897889
nao,Europe,3,1,0.314061050565551
iod,Europe,3,1,0.290640963190019
pdo,Europe,3,2,0.312240916497535
npo,Europe,3,2,0.24662886308202
pdo,Europe,3,3,0.270700855730033
oni,Europe,4,1,0.32958276213014
nao,Europe,4,1,0.338560699754177
npo,Europe,4,1,0.234496702829807
nao,Europe,4,2,0.241241890365324
nao,Europe,4,3,0.350728772609295
pdo,Europe,4,3,0.238218223392922
npgo,Europe,4,3,0.284230999662996
npo,Europe,4,3,0.278116230386408
oni,Europe,5,1,0.301018750943126
nao,Europe,5,1,0.341259068649346
pdo,Europe,5,1,0.357935516232317
iod,Europe,5,1,0.235798312551869
npo,Europe,5,1,0.290121213903347
oni,Europe,5,2,0.289037831437486
nao,Europe,5,3,0.298047290921757
oni,Europe,6,1,0.276021552750568
nao,Europe,6,1,0.246942274808633
oni,Europe,6,2,0.302199447687684
nao,Europe,6,2,0.349786726432169
pdo,Europe,6,2,0.274387705199701
npgo,Europe,6,2,0.312824476185025
oni,Europe,6,3,0.233580571758072
iod,Europe,6,3,0.339755621895529
nao,Europe,7,1,0.32668894890442
iod,Europe,7,1,0.263901798953074
oni,Europe,7,2,0.320162684800569
nao,Europe,7,2,0.265751025123745
